country,bucket,n,share_of_bucket_pct
Germany,hidden_on_li,70,4.33
Kenya,cb,981,0.15
Russia,hidden_on_li,3,0.19
Sri Lanka,cb,149,0.02
Japan,hidden,566,2.18
prev DC.,hidden,1,0.0
Oman,cb,9,0.0
Bolivia,pb,11,0.0
Thailand (Open to Remote),hidden,1,0.0
Romania,hidden_on_li,1,0.06
Paris,hidden,1,0.0
Andhra Pradesh,hidden,1,0.0
Ethiopia,hidden,12,0.05
Ethiopia,cb,179,0.03
Rostov-on-Don,hidden,1,0.0
Paraguay,cb,6,0.0
Texas,hidden,3,0.01
South Africa,hidden_on_li,4,0.25
Greece,hidden,157,0.6
Poland,hidden_on_li,6,0.37
Somalia,cb,1,0.0
Denmark,cb,4052,0.63
the Netherlands,hidden,4,0.02
United Arab Emirates,hidden_on_li,5,0.31
Gibraltar,cb,6,0.0
Spain,hidden_on_li,16,0.99
Montenegro,cb,2,0.0
Greece,hidden_on_li,1,0.06
Indonesia.,hidden,1,0.0
Tanzania,hidden_on_li,1,0.06
Côte d'Ivoire,cb,77,0.01
Namibia,hidden,1,0.0
Uruguay,cb,359,0.06
Saint Lucia,cb,2,0.0
Australia,cb,16583,2.57
Iran,hidden,6,0.02
Brasil,hidden,4,0.02
Serbia,pb,154,0.05
Cyprus,hidden_on_li,1,0.06
Slovenia,pb,118,0.04
Hooghly,hidden,1,0.0
Spain,cb,12894,2.0
Bermuda,cb,3,0.0
Apeldoorn,hidden,1,0.0
Belgium,hidden,102,0.39
Spain,pb,3129,1.11
Switzerland,cb,8910,1.38
Ireland,cb,3325,0.52
Serbia,hidden,29,0.11
Kazakhstan,hidden,6,0.02
Jersey,cb,2,0.0
Australia,hidden_on_li,47,2.91
U.S,hidden,1,0.0
NYC,hidden,1,0.0
Myanmar,hidden,1,0.0
Mainland China,hidden,1,0.0
Belgium,pb,1657,0.59
Colombia,hidden,44,0.17
Philippines,hidden_on_li,5,0.31
South Carolina,hidden,1,0.0
Ecuador,cb,275,0.04
Maldives,cb,1,0.0
Martinique,cb,1,0.0
Ukraine,pb,233,0.08
Estonia,pb,329,0.12
Seoul,hidden,1,0.0
Romania,hidden,51,0.2
Austria,hidden_on_li,5,0.31
Hong Kong,pb,848,0.3
United Kingdom,pb,23299,8.28
South Africa,pb,1149,0.41
Pakistan,cb,2481,0.38
Lesotho,cb,1,0.0
Switzerland,hidden,215,0.83
Germany,hidden,785,3.02
Indonesia,pb,899,0.32
Malaysia,hidden,20,0.08
Chennai,hidden,1,0.0
Portugal,pb,621,0.22
Mauritius,hidden,1,0.0
Philippines,pb,354,0.13
Singapore,pb,1937,0.69
UCL,hidden,1,0.0
Cameroon,pb,17,0.01
Costa Rica,cb,18,0.0
Gabon,cb,1,0.0
Jharkhand,hidden,1,0.0
the only planet inhabited by robots,hidden,1,0.0
Seychelles,hidden_on_li,1,0.06
Uzbekistan,pb,49,0.02
Slovakia,pb,161,0.06
France,hidden,427,1.64
Croatia,pb,207,0.07
Universe,hidden,1,0.0
Netherlands,hidden,303,1.17
Lahore,hidden,1,0.0
75080,hidden,1,0.0
USA,hidden_on_li,1,0.06
Argentina,hidden_on_li,6,0.37
Zagreb,hidden,1,0.0
AB,hidden,1,0.0
Seychelles,cb,8,0.0
China,hidden,817,3.15
India,pb,7457,2.65
up(india),hidden,1,0.0
Nepal,hidden,8,0.03
Mongolia,cb,99,0.02
Tunisia,cb,57,0.01
Romania,pb,513,0.18
Chile,pb,373,0.13
Kuwait,cb,220,0.03
Venezuela,cb,7,0.0
Sri Lanka,pb,149,0.05
18940 USA,hidden,1,0.0
Turkey,pb,847,0.3
Russia,hidden,49,0.19
Mauritius,cb,10,0.0
Norway,cb,2850,0.44
Belarus,cb,28,0.0
Denmark,pb,2011,0.71
Thailand,pb,680,0.24
India,hidden,957,3.68
Taiwan,hidden_on_li,4,0.25
Vietnam,cb,2181,0.34
Maharashtra,hidden,2,0.01
Algeria,hidden,5,0.02
Benin,hidden_on_li,1,0.06
The Netherlands,hidden,6,0.02
South Africa,cb,4933,0.76
Latvia,pb,168,0.06
Armenia,cb,261,0.04
200240,hidden,1,0.0
Pakistan,hidden_on_li,6,0.37
Cayman Islands,pb,1,0.0
Canada,pb,14563,5.18
Peru,hidden_on_li,2,0.12
Panama,cb,256,0.04
Liechtenstein,cb,9,0.0
Ghana,pb,97,0.03
Ukraine,hidden,53,0.2
Russia,pb,1570,0.56
France,hidden_on_li,51,3.16
South Korea,hidden,468,1.8
Lithuania,pb,257,0.09
Egypt,hidden,54,0.21
Iceland,cb,26,0.0
Italy,hidden,393,1.51
Poland,cb,4634,0.72
H3A 1X1,hidden,1,0.0
Benin,cb,2,0.0
Hungary,pb,352,0.13
South Korea,hidden_on_li,13,0.8
Uganda,hidden,6,0.02
Myanmar,cb,3,0.0
Poland,hidden,116,0.45
Ireland,hidden_on_li,7,0.43
Near  by Woolf University(SFO International Airport),hidden,1,0.0
United Arab Emirates,pb,1043,0.37
Bolivia,cb,87,0.01
Sudan,cb,1,0.0
Vietnam,hidden_on_li,7,0.43
Bhutan,cb,2,0.0
Canada,hidden_on_li,29,1.79
Zambia,hidden,1,0.0
Ethiopia,pb,24,0.01
Nevada,hidden,1,0.0
Cyprus,cb,83,0.01
North Macedonia,pb,44,0.02
Sierra Leone,cb,1,0.0
Chad,cb,1,0.0
